timestamp	company	status
2026-08-22T05:29:35.022Z	Mistral AI	empty
2026-08-22T05:29:35.022Z	Hugging Face	reachable
2026-08-22T05:29:35.022Z	Satispay	reachable
2026-08-22T05:29:35.022Z	Scalapay	reachable
2026-08-22T05:29:35.022Z	N26	reachable
2026-08-23T05:31:45.845Z	Stripe	reachable
2026-08-23T05:31:45.845Z	Workday	reachable
2026-08-23T05:31:45.845Z	HubSpot	empty
2026-08-23T05:31:45.845Z	Intercom	reachable
2026-08-23T05:31:45.845Z	Adyen	reachable
2026-08-23T05:31:45.845Z	Elastic	reachable
2026-08-23T05:31:45.845Z	Miro	reachable
2026-08-23T05:31:45.845Z	Anthropic	reachable
2026-08-23T05:31:45.845Z	OpenAI	reachable
2026-08-23T05:31:45.845Z	Mistral AI	empty
2026-08-23T05:31:45.845Z	Hugging Face	reachable
2026-08-23T05:31:45.845Z	Satispay	reachable
2026-08-23T05:31:45.845Z	Scalapay	reachable
2026-08-23T05:31:45.845Z	N26	reachable
2026-08-24T05:40:21.430Z	Stripe	reachable
2026-08-24T05:40:21.430Z	Workday	reachable
2026-08-24T05:40:21.430Z	HubSpot	empty
2026-08-24T05:40:21.430Z	Intercom	reachable
2026-08-24T05:40:21.430Z	Adyen	reachable
2026-08-24T05:40:21.430Z	Elastic	reachable
2026-08-24T05:40:21.430Z	Miro	reachable
2026-08-24T05:40:21.430Z	Anthropic	reachable
2026-08-24T05:40:21.430Z	OpenAI	reachable
2026-08-24T05:40:21.430Z	Mistral AI	empty
2026-08-24T05:40:21.430Z	Hugging Face	reachable
2026-08-24T05:40:21.430Z	Satispay	reachable
2026-08-24T05:40:21.430Z	Scalapay	reachable
2026-08-24T05:40:21.430Z	N26	reachable
2026-08-25T05:33:59.491Z	Stripe	reachable
2026-08-25T05:33:59.491Z	Workday	reachable
2026-08-25T05:33:59.491Z	HubSpot	empty
2026-08-25T05:33:59.491Z	Intercom	reachable
2026-08-25T05:33:59.491Z	Adyen	reachable
2026-08-25T05:33:59.491Z	Elastic	reachable
2026-08-25T05:33:59.491Z	Miro	reachable
2026-08-25T05:33:59.491Z	Anthropic	reachable
2026-08-25T05:33:59.491Z	OpenAI	reachable
2026-08-25T05:33:59.491Z	Mistral AI	empty
2026-08-25T05:33:59.491Z	Hugging Face	reachable
2026-08-25T05:33:59.491Z	Satispay	reachable
2026-08-25T05:33:59.491Z	Scalapay	reachable
2026-08-25T05:33:59.491Z	N26	reachable
2026-08-26T05:36:41.341Z	Stripe	reachable
2026-08-26T05:36:41.341Z	Workday	reachable
2026-08-26T05:36:41.341Z	HubSpot	empty
2026-08-26T05:36:41.341Z	Intercom	reachable
2026-08-26T05:36:41.341Z	Adyen	reachable
2026-08-26T05:36:41.341Z	Elastic	reachable
2026-08-26T05:36:41.341Z	Miro	reachable
2026-08-26T05:36:41.341Z	Anthropic	reachable
2026-08-26T05:36:41.341Z	OpenAI	reachable
2026-08-26T05:36:41.341Z	Mistral AI	empty
2026-08-26T05:36:41.341Z	Hugging Face	reachable
2026-08-26T05:36:41.341Z	Satispay	reachable
2026-08-26T05:36:41.341Z	Scalapay	reachable
2026-08-26T05:36:41.341Z	N26	reachable
2026-08-27T16:11:15.621Z	Stripe	reachable
2026-08-27T16:11:15.621Z	Workday	reachable
2026-08-27T16:11:15.621Z	HubSpot	empty
2026-08-27T16:11:15.621Z	Intercom	reachable
2026-08-27T16:11:15.621Z	Adyen	reachable
2026-08-27T16:11:15.621Z	Elastic	reachable
2026-08-27T16:11:15.621Z	Miro	reachable
2026-08-27T16:11:15.621Z	Anthropic	reachable
2026-08-27T16:11:15.621Z	OpenAI	reachable
2026-08-27T16:11:15.621Z	Mistral AI	empty
2026-08-27T16:11:15.621Z	Hugging Face	reachable
2026-08-27T16:11:15.621Z	Satispay	reachable
2026-08-27T16:11:15.621Z	Scalapay	reachable
2026-08-27T16:11:15.621Z	N26	reachable
